Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
PT 0156-4980;09.12.2019;P1Y1999;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S5;219.1x12.7+219.1x12.7;9B2F87TC;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134450.pdf;К16.pdf;000272
PT 0156-4981;09.12.2019;P1Y1999;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S7;219.1x12.7+219.1x12.7;9B2F87TC;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134452.pdf;К16.pdf;000274
TT1057-67891;23.11.2019;P1Y2000;4.1.3.11.103;1-11-0A1040;00554-1-3-11-103-TM-IS-A-0006;Ba-I;S10;219.1x12.7+219.1x12.7;"85L0;9EPH";гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134457.pdf;К16.pdf;000279
PT 0156-4982;09.12.2019;P1Y1999;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S12;219.1x12.7+219.1x12.7;9B2F87TC;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134459.pdf;К16.pdf;000281
PT 0156-4983;09.12.2019;P1Y1999;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S13;219.1x12.7+219.1x12.7;9B2F87TC;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134461.pdf;К16.pdf;000283
YN MT-A-0564R1 PT S985;26.04.2020;P1Y2038;41511.103;1-11-0A1040;0055-4.1.33.11103-TMIS-0006;(a)-I-B(a)-I;S17;219.1x12.7219.1x12.7;954P;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134463.pdf;К16.pdf;000285
YMT-A-0569 PT 16710;16.04.2020;P1Y2038;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S17;219.1x12.7+219.1x12.7;954P;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134465.pdf;К16.pdf;000287
YMT-A-0534R1 PT 4529;09.04.2020;P1Y2038;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S177;219.1x12.7+219.1x12.7;954P;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134467.pdf;К16.pdf;000289
ACPC-GNZ-003 PT 7781;19.07.2020;P1Y2038;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S17R1;219.1x12.7+219.1x12.7;954P;гoдeн/approprгiate;"ООО ""Альфа""";Заключение ПВК_10_134469.pdf;К16.pdf;000291
PT 029-708;29.09.2019;P1Y2038;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S18;219.1x12.7+219.1x12.7;"95ML;87TC";гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134472.pdf;К16.pdf;000294
PT 029-708;29.09.2019;P1Y2038;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S18;219.1x12.7+219.1x12.7;"95ML;87TC";гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134473.pdf;К16.pdf;000295
NPG025-PT-076;07.12.2019;P1Y2040;4.1.3.11.103;1-11-0A1040;0055-4.1.3.11.103-TM.IS-0006;B(a)-I;S26;219.1x12.7+219.1x12.7;8V9P;гoдeн/appropriate;"ООО ""Сигур""";Заключение ПВК_10_134480.pdf;К16.pdf;000302
YMT-A-0562 PT 6009;27.04.2020;P1Y2057;4.1.3.11.119;1-11-0A1040;0055-4.1.3.11.119-TM.IS-0114;B(a)-I;S10;219x12.7+219x12.7;948885L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134482.pdf;К16.pdf;000304
YMT-A-0562 PT 6010;27.04.2020;P1Y2057;4.1.3.11.119;1-11-0A1040;0055-4.1.311.119-TM.IS-0114;B(a)-I;S16;219x12.7+219x12.7;948885L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134485.pdf;К16.pdf;000307
PT 080R1-2527;25.10.2019;P1Y2058;4.1.3.11.119;1-11-0A1040;0055-4.1.3.11.119-TM.IS-0114;B(a)-I;S17;219.1x12.7+219.1x12.7;82CH85L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134487.pdf;К16.pdf;000309
YMT-A-0562 PT 6011;27.04.2020;P1Y2058;4.1.3.11.119;1-11-0A1040;0055-4.1.3.11.119-TM.IS-0114;B(a)-I;S19;219x12.7+219x12.7;82CH85L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134489.pdf;К16.pdf;000311
